tweet	topic	sentiment
cant taxi youve covid stupid suggestion	m	-1
whiskey recommendations omicron round pandemic	ov	0
variant easily transmitted evades jab easily deadlyweird	ov	0
south africa world precious gift gratitude support resources battle own outbreak gift deserves treated respect deserves acting itby	g	1
cardinal parolin fraternity hope keys finding crises vatican news	g	1
omicron anagram moronic laughing	o	0
rep ronny jackson raved trumps health top white house physician called omicron midterm election variant democrats somehow cooked push mailin ballots via	g	-1
treating covid19 cold	o	0
virus weak release vaccine weaken immune system kill youdarkest winter	ov	-1
doctors covid	s	1
covid news passed vibe check	o	0
thanks lot amazing gift time winning help lot pandemic covid19 thanks received prize instantly #legit #dogespay #dogepromotelegit	o	1
maldivian leader concerned covid variant plans ramp vaccinations	g	0
vaccine mandates violate nuremberg code constitution civil rights mandate virus existed founded crooked nih crooked fauci steal election dictator	g	-1
#omicron preparing dutch superfood called boerenkool guaranteed protection covidflu poison pfizer jab	a	1
protesting vaccination pass segregate people	m	0
vaccine resistant haha didnt tell happen magic poison jab live life albertans dont listen word lying pos control sick sick dangerous game playing	g	-1
steve kirsch45 deaths covid vaccination happen 2 weeks 59 4 weeks 63 5 weeksdoing conservative estimates americans killed vaccine leads inevitable conclusion vaccines stopped	a	-1
jesus christ lol preexisting health issues doubt virus manmade dont cry ive gotten shit twice honestly vaccinated creating strains stupidity unfixable ignorance bliss	a	0
wind hospital covid youll needle sticks imagined	o	-1
imposes travel ban eight african countries omicron variant	g	0
realize variants created leaky vaccines vaccine doesnt kill virus mutates vaccine	a	0
total covid death distribution county wa 20211126 covid insights analytics team usafacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth	s	0
lockdown karnataka dec 15 bucket tv	g	0
delta variant responsible 99 covid globally who#covidvariant #coronavirus	g	0
darkest hours discover true strength brilliant light ourselves dimmed doe zantamata#quote #covid19	o	1
rage cancelled shouldnt gone ahead amidst pandemic forget covid cancelling rage save women horrors boozed misogynistic barelymen themselves prove environment offers lose	o	0
petition transfer billion dollars worth shiba inu covid relief fund coins india coins start national coin buy #india coin low #shibaarmy #dogecoin #bitcoin #shibainu #elonmusk #eth #btc #ethereum #bnb	g	0
fear mongering pricks guess lockdown couple boostersthere goes christmas	m	-1
#update dutch health authorities discovered 13 omicron strain passengers flights south africa 61 600 travellers klm planes tested positive covid19 friday	g	-1
pfizer booster month ago	p	1
vaxxed dont getting tested idiot vaxxed responsible stay home quarantine unvaxxed dont care die die christian sentiment	p	-1
arent immune level resistance vaccinatedthere indicators virus actually attacks immune response pathways putting faith virus safe lol	p	0
vaccine drug teaches immune system recognise pathogen ill definition semantic medical	p	0
policy fear oppressive maintain safety flawed undesirable vaccine criminals rich	a	-1
pose risk unvaccinated vaccinated simple	p	0
exactly game cynical cruel attempting leverage political result causing avoidable deaths misery innocent people families suffer following gops idiotic advice vaccinated	g	-1
including 15 imported 13094 domestic transmissions logged 60 provinces cities	s	0
context possibilities omicron	o	0
daily telegraph altered news headline	o	0
idiots wont vaccinateddont pretend didnt supply tools didyou cant cure stupid country	g	-1
yes varient omicron anagram moronic	o	-1
wont read ridiculous articleof course biden cant control natural disaster trump followers discount vaccine equate bidens term trumps disaster	g	-1
abandoing pandemic dog im phase life	o	0
warnings omicron variant writing overhyped stand bethany mandel whos critical mainstream news outlets coverage pandemic weighs #danabramslive #newsnation	o	0
avail turkish airlines flight change policy comfortable journey#turkishairlinesflightchangepolicy#turkishairlinesflightpolicyvisit	m	0
im mandates cant fuck karen kyle vaccine decision impact	g	0
classification omicron b11529 sarscov2 variant concern	s	0
covid rising rapidly major south african cities	g	-1
mentally handle covid variant please	o	-1
#genocidalmilitaryblock aidsarbitrarily abduct medics giving medical support civiliansthose spearheaded #covid19 prevention jailsave 54 million	g	-1
variant covid 19 horizon people themselves worth dying vaccine kill vaccine keeping people alive vaccine prevent future occurrences mutation beg vaccinated help stop	p	1
pandemic hits	o	0
refuse admit vaccinated ok brainwashed time day realize	ov	-1
omicron scott morrisons leadership call 18 months purpose built quarantine absolute disgrace colossal failure government pm claims 4 aus nope close	g	-1
babies dont fledged immune system afaik vaccine isnt suitable	ov	0
south african white people pandemic	g	-1
atmospheric rivers ployguess wont hear quote onewhat happened heavy rains etcjust bs folks people panic fear mode covid hear sky falling sky falling	s	-1
article days ago reminder africa surprising surprising advantages covid reasons logistics 1 countries south africa vaccine	g	0
dozen variants biden fauci named getting panic lockdown response wantso putting names outbreakthey lie created called communist variant	g	-1
interestingly cancers 3000 bc theyve found cure found vaccine covid19 five months #interesting #knowledgeispower	ov	0
covid parenting reaching breaking atlantic	o	0
news media trying scare covid variant #omicron	ov	-1
setup omicron transmissblesome masks dont lot dont history omicron amongst mask noncompliance gang blamed lockdown psyop hesitant	a	0
argument youd risk unkown term effects jab risk 99 survival rate covid	p	0
variant corona omicron caused disturbance world#vaccine #covidvaccine #deltastrain #omicron #newvariant #corona #getvaccinated #covid19 #smccenters #rtpcr #smcvaccination #suratcitynews #surat #suratcity #citynews #suratnews #chaitimefeed	ov	-1
india post vaccination death #10532 #10534karnataka dr gn ganesh kumar died 27 apr taking doses vaccine dr mahesh died 18 dr ramegowda cc died 29 apr 1st dose vaccine	a	0
world struggling pandemic required lockdown share openly vaccine developed mass produce vaccines deal loss patents recovery deliver corner world wed avoided mutations	m	-1
time oz greek orthodox ousted unholy archbishopoz taxe meant 2 treat elderly@stbasils respect care elderly earned rest 2 archbishops robeluxury pad wasnt supposed 2 live inst basils neglect50 covid	g	0
yesterdays day yesterdays catch havent weekend sick worries covidfree	o	1
missing endless jabs toxic spike production increasing chance severe damage 15 months spike lingers jab compounds damage dr peter mccullough spoken repeatedly	a	0
im listening fear mongers agenda government pharma media kids chance vaccine injury harm virus	a	0
covid shots kids help prevent dangerous variants via	p	0
moderna booster isnt bad shot #2 damn feel hit truck	p	0
healthcare professionals duty support vaccine hesitant patients concerns judgement actively listening explaining data terms building trust allow space process questions patient judgement 22	a	1
switzerland vote covid restrictions increase	g	0
missouri judge tosses covid19 health calling naked lawmaking bureaucrats	g	-1
haaaaave photoshoot tulip festival ottawa aprilish idk covid cancelled ahh itd	m	1
kenya coercive measures vaccinated lifted	a	-1
reason measures #omicron	m	-1
infected vaccinated dieonce infected unvaccinated dieget wont	ov	-1
yes banga totally bill comes rules change completely vax lockdowns victoria lockdown 2022 bill comes lockdowns worse 2020 2021	g	-1
yes issues occur time rate unvaccinated vaccinated theres causal link evident clinical trials andor spikes compared previous	a	0
shouldnt released bioweapon maybe shouldnt create escape variants using nonsterilizing vaccine transfection people clueless understanding immunology history geopolitics propagandized	g	-1
recommend ppl pfizer pill reduce chance hospitalization 95 tell trying hydroxychloroquine ivermectin	ov	-1
family florida timescovid masking isnt prepare yourself alternate reality experience	o	1
travellers test positive omicron strain covid19 sydney seriously surprised shitney strain covid country started australia wouldnt continue trend	g	-1
participated exactly taking questionable vaccine limited data politicized oblivion democrats yeah participate superior natural immunity doing fine sweetheart	a	0
china donate 600 million covid19 vaccine doses africa	g	1
civil services covid relief consider suffering pain govt help grant fair opportunity #upscextraattempt	g	1
kaye adams shares candid health update 24 hours covid booster jab	ov	0
10 days quarantine 2000	o	0
joined book club pandemic hits skips bizzaro	o	1
maskwearing anti vaccine dolts dont care rule disingenuous killer government hope hes hospital soon recovers	p	-1
aspirants attempt prior 2020 advantageous position covid warriors demand equity justice #upscextraattempt@pmoindia@doptgoi@smritiirani@amitshah@drjitendrasingh@bjpmahilamorcha#2	o	0
reason particular pandemic depression snacks ive partaken saying maybe are1 toast siracha vegan mayo2 spoon peanut cooked lighter3 tortilla chips ketchup	o	0
cult obsession vaccine indicates obviously incentive pushing hard	o	-1
youre suffering insanity seriously read people mocked unvaxed died clotsheart attack adverse events covid anyway loselose approach	p	-1
live reportalsa english championship 2021creativity midst pandemicagenda penutupan oleh mc eli ardalyazoom cloud meeting	g	0
canadians biggest drop gasoline prices 2009 covid variant fears	g	-1
abbott costello kept head ass beginning pandemic fails hes brain cell	g	-1
york declares emergency fight omicron variant	g	0
yep apparently 5000 refused jab	ov	0
6 booster shots 3 vaccine	a	0
mandatory vaccination tricky considering constitution bet implement mandatory rapid covid tests entering establishments	ov	0
left southern borders 150000 unvaccinated illegal immigrants coming country 150 countries monthly travel bans countries omicron makes sense smoke mirrors	g	-1
rational shutting covid	m	-1
stricter border control testing past experience original covid strain delta variant taught solutions avoid surge sana wag lang reimposition ng shield policy ang pagtuunan ng pansin	g	-1
saying 5 lockdowns reason 6th didnt makes sense vax rate 6th lockdown	m	-1
proof vaccination becoming irrelevant contexts	ov	0
22 identified saying reservoir surprise african countries omicron european countries documented mild symptoms hard pinpoint	g	-1
fuckin weird ppl spend time money energy getting fake vaccination card opposed getting damn shot	m	-1
negative covid gender	o	0
covid19 pandemic concomitant vaccine antivaccination movement mainly identified specific myth idea vaccines cause	s	0
havent 2 shots cdc youre unvax soon youll 3 jabs cares act medicare addon payment 20 rural urban inpatient hospital covid19 patients follow	g	0
feel lonely quarantine	m	-1
delhi records 34 covid19 1 death	g	-1
canada australia report omicron fauci variant evade immune protection covid19 updates 877fm	g	-1
consistently vote own interestsyou dont orangehaired douchebag flying fuck outraged little youhow eg vaxx denialism help peoplehow voting rs help people	p	-1
uniquely qualified answer question1 strange days2 angus3 babysitters club4 casino5 brady bunch moviei watched 202 movies 1995 2020 pandemic lockdowns	o	-1
mask mandate ontario lifted increasing vaccine mandates wear maskget vaccines help humanity navigate pandemic live life following protocols	p	0
covid conservatives proxies spread fear distrust othersbidens sit choosing incite anger instead	g	-1
moderna booster friday az originally knackered yesterday mooched sofa	p	0
vaccinated people spread virus variant lies health afraid life sick dead easy care living anyway #covid #scam	a	-1
covid	o	0
upsc covid attempts@amitshah	o	0
november 28 2021infograpahics re covid 19	o	0
covid	o	0
read tweet omicron variant democrats plan win votes pisses	g	-1
covid raging india multiple restrictions imposed day day lives schools closed local trains didnt ply worships rathyatra curtailed life normal elections deferred	g	0
saying mandatory vaccineyou vaccine free wont feel forced youll feel chose	p	1
please reconsider offline classes colleges time view ongoing heavy rains concerns covid virus variant omicron offline exams settle ok	m	1
bitter youll feel prime minister morrison tells book 3rd jab asaponce obey scotty youll aggressive	g	0
definitely worth noting swansea council trying close cinema co 1984 uk gov act welsh gov covid legislation	g	0
travel ban wont help bit #omicron weeks delta proved travel band hardly changed hoping close herd immunity milder third wave #coronavirus	m	1
hes adequate job theyll fit run country moment theres control borders whatever gasoline nys 4 vaccine mandates unconstitutional	g	-1
statement obvioususing nonsterilising #vaccines pandemic insanity train #virus dodge efficacyof course scientists ignored intended	s	0
global pandemic joke	o	-1
covid ass proven myth 90 casesshifts remaining uncovered understaffed underfunded people punished wise mean fucking finally bullshit chose environment pt1	o	-1
oh im sorry covid speedy recovery	o	1
omicron covid c19mobile phoneanthropomorphization subjectobjectsubject relationship theocratic therapeutic relationship medicinehes world hands	s	0
covid carewash ur hands wear mask watch distsnce ventilation vaccination plese ptopagate dr rao	o	0
civil services covid relief #upscextraattempt protesting demands sign development sir	m	-1
vote send covid gitmo media pharma execs	g	0
vaccinated getting country tisk tisk	g	-1
governments definition masks include coveringscloths proven stop transmission personally people wearing time caught covid imo worth considering	m	0
bbc news covid variant omicron detected	g	0
omicron variant stock market morning	o	0
hardly matters handled planes massive exposure expect develop covid symptomatic	o	-1
stats gender digital divide africa uganda narrowing increasing effect covid19 divide@wougnet	s	0
people triple masked bart cant lockdown	m	0
honor getting covid scares mid stream recently scene 7 stages trauma whatever streaming 12 hours tomorrow day dumb month	o	-1
uk germany italy detect omicron variant israel closes borders breaking news daily mirror	g	-1
hope lockdown	m	-1
doesnt squirrel balls brics	g	0
troublesome obtain covidgtproceeds double	o	0
scaffolding market	o	0
discussion bitchute jim fetzernew covid scariant dr	ov	0
covid variant omicron detected london sydney daily	g	-1
update pakistan banned flights 6x african countries hong kong due growing concerns covid variant omicron	g	0
dm reallyyyyy hope funds research restore covid survivors taste smell beyond frustrating knowing tastes smells	s	-1
im theres evidence damn vaccine	a	0
omicron oh godou mai cronou mai god@papusyolivus	o	0
southeast asian countries continue rank lowest indonesia malaysia thailand vietnam philippines bottom six third month bloombergs covid resilience ranking via	g	0
soft targets africa isolated omicron variant shameless knee jerk reaction populism beat	g	1
vaccination own isnt achieve herd immunity wed huge population vaccinated infections vanishingly rare arent near thatso masks sd triad	s	1
greek keyboard iphone speak math cant break twitter news little omicron talking youtuber confused	o	0
unfortunately lot people agree himevidently lot deaths preferable vaccination	p	-1
bff read naver article sofi 47k seats bc pandemic situation stuff sold rounds 188k seats seat tickets released expect 200k	o	-1
hope india panic omicron tests vaccines solution lockdowns travel banstoo livelihoods stake	m	0
oh gladly wear mask public day inconvenience minor ive close friends die covid thats real inconvenience wearing mask getting ten shots issues comparison death spoiled americans	p	-1
omicron	o	0
handle pandemic	o	0
#omicron milder #covid19 variants govt messages mild infections arent extremely dangerous wrong1 graph milder disease actually kill peopleand2 milder disease run rampant cause lethal variants develop	s	-1
fake jab president elon musk taking covid test 4 times positive twice forcing survived vaccinate antibodies refuse sheep led slaughter	a	-1
dunno covid toe apparently indicates infection	o	0
covid brain fog antivaxxer	ov	0
coetzee added patients healthy half og vaccinatedstop cherry picking	s	-1
oh deal news flash vaccine covid hello	ov	-1
similarly hyping decentralized web weve seen social media misinformationdriven covid surges capitol stormings misplaced effort reeks cool tech sake cool tech	o	-1
click below 1984 study coronavirus using strains 70s people alive immunity current covid	s	0
juniors reasonable exemptions understand varied views statutory freedom choice removed lockdown rules nec people doing day job arent risk children dont covid vul relatives	o	0
york democrat gov kathy hochul time declared time im ill fine vaccine #holdouts declare completely safe29104 left disabled	g	-1
episode dropping soon available patrons im wont else ep 17 toms covid	o	0
madam cant close educational institutions schools colleges variant covid19 dangerous threatening close advance solution please	m	1
article helpful advised covid	s	1
omicron variant poses global risk	g	-1
cohort vaccinated people unvaccinated	o	0
issue covid isnt bad vaccines strictly optional rightso care covid greg	a	0
yes sweden saved democracy avoiding totalitarian measures successful neighbours dont remembernow implementing covid passport democracy dead threat	g	-1
hot chocolate jar heated people virus concerns personal inexpensive covid transmitted air fomites rare elevator studies didnt account 4 particles linger air	s	0
doesnt matter art quarantine facilities youre quarantining people	o	0
currently 90 people hospitalised uk variant covid unvaccinated mix unlucky immune deficient	s	0
2he catch omicron variant tanzania	g	0
airlines log busiest days 2020 thanksgiving omicron poses challenge	m	0
#covidroundtable story bhartiya vaccine minds indias success bharat biotech picked upprof vijayaraghavan principal scientific advisor goi dr krishna ella chairman bharat biotech explain process special broadcast	s	0
democrats crying covid	g	0
shocking waste time guidance covid guidance please staff safe nonsense	m	-1
reason ny governor shutting medical reasons	m	0
ironically covid caught 2nd time isolation 10 days symptoms mild zero symptomsso yea agree complete eradication impossible	ov	0
china president xi jinping china offer billion doses covid19 vaccines african countries encourage chinese companies invest 10bn africa years#china	g	1
ngl mentioned omicron misspelling title game	o	0
positive covid19 pandemic shown past change doing inclusive	o	1
personnel bangued mps led pssg ronald ochovillo conducted police visibility assistance 3day vaccination motorcade provincial capito zone 5 bangued abra#pnpkakampimo#teampnp#pnptoserveandprotect	o	0
dont support moved level family friend dr died covid weeks ago exist	o	0
day remembrance victims chemical warfare precursors covid thank sacrifices vain fucking idiots committing biological warfare forced wear masks	o	-1
covid variation activate health sector #medicalchain	o	0
oh invest dictionary aware injustices dangerous covid ridiculed beyond	o	-1
yessssss ive little cocktail covid vaccines	ov	0
world alert #netherlands #australia #italy #czechrepublic #germany confirm #omicron #covid19 variant#covid19variant	g	0
thoseget flu unvaccinated arent riddled covid infected unvaccinated ounce science truth statement	o	-1
wrong covid19 vaccine causes myocarditis	ov	-1
covid strain	o	0
coachs corner 2 pandemic pnk pandemic museenjoy normal season waited time fans	m	1
hi adam cant pcr covid month ago advice ocrs 90 days unless symptoms	m	0
pass jab	o	0
conspiracy theorists conspiracy theoristi discovered rabidly anti vaxx cousin yesterday wife told 50 cousins hard track	o	0
post omicron variant vaccine inequality wakeup call south africas president ramaphosa video published	g	0
shutting doors low impact sending millions vaccine doses africa stem mutations time donate vaccines 6 months ago time	g	0
britain hold g7 meeting monday health leaders africa asia south america support g7 increase vaccines	g	0
onto subscription service infinity jab	ov	0
omega vs omicronno sharing ignorance world	o	-1
south africa johnson johnson pfizer delay delivery covid19 vaccines stock health ministry officials vaccine hesitancy slows inoculation campaign	g	0
overall global risk related variant concern #omicron assessed un agency urged countries accelerate vaccination highpriority read #uae #dubai #dxb	g	0
wrapping pandemic album looks ill strapping 3rd 4th looking forward hits tour 2027	o	1
simple french fable building residents quarantined covid meaningful powerful netflix stuck	o	0
south african doctor omicron variant symptoms unusual mild #foxnews	s	0
b11529 covid variant worrying weve seen top uk medical adviser	g	-1
zoo covid started partly stop visitors congregating look partly zoo keepers caring safe offsite thats actually correct info understanding	m	0
vintage french tin box vintage elesca milk cocoa powder tin box canister coffee tin box kitchen decor christmas gift france 30s #cyber2021 #blackfriday #freeshipping #gifts #retro #covid19 #vintage #thanksgiving #frenchtinbox	o	0
stop referring #omicron #southafricavariantafricans living india receiving lot hate race imagine additional stigmatization cause please stop#omicronvarariant #omicorn #covidvariant	g	0
lewa robbed announce omicron	o	0
heart broke hearing saying thisperforming korea empty covid feel eight ago park jimin	m	-1
vaccine temporarily affect virus definitely mandate woman child takes real prize world govts monitored 247 qr codes vaccine passports pandemic perfect opportunity	g	-1
dr bhakdi argues vaccine injected muscles protect virus attacks respiratory system gt solution nasal spray vaccinehe calls #ophthalmologists collect evidence thrombosis eye vessels vaccinated individuals	s	0
amidst dark cloudsa subtle silver lining hopelike rainbow life exists times #northeastmonsoon #chennairains #covidvariant #omicron strengthen hardship time prepared	o	1
covid bubble breached	o	0
vaccine ponzi scheme rona variants goingthey dont care	a	-1
87 unvaxxedhow compare vax rate particular region confident hospitalized infected #omicron delta hospitalizations deaths lagging indicators	s	0
delta variant dont actually booster jab mind virus mutates wears	p	0
hi regularize review vaccination cards bags tickets safety thousands people stake letting stadium unchecked hope solved asap thanks	m	0
covid variation activate health sector #medicalchain	o	0
warp speeds holiday gift minionsmore shots pfizerbiontech vaccines effectiveness omicron variant soon ship jab tailored emerging variant 100 days	o	0
hardly shambles 17million currently vaccinated id fantastic achievement nhs workers carrying vaccine programme aswell normal job shattered	ov	1
matter dont vaccine choose harden heads	a	0
true pandemic unfortunate sorts real	o	0
joe biden kamala harris slammed omicron covid variant travel ban resurfaced tweets dont	g	-1
exactly omicron net positivemore transmissibleless lethal means vaxed freedom reasons geographic location exposed mild form covid doesnt require hospitalizationsresult death rapid build global immunity	o	1
omicron shiny object follow	o	1
support elseis vote lazy steve 2022 2 lazy steve ignored #wheelchairuserwatch video #covid19my	g	0
talking healthy hearts #myocarditis #vaccinesideeffects #ableg vaccines covid causing athletes collapse field	ov	0
vaccination gt gt nwo	o	0
uk covid measures announced tackle omicron spread #smartnews	m	0
figures wrong display false facebook memes	o	-1
oh ffs ivermectin grifting doctors fleecing dying patients money using drug proven covid vivo bet monoclonal giving irrespective antibody status thatll cost patient grand	o	-1
democrats realize policies telling americans expect prices supply change crisis chaos southern border looting stores defunding police unsolved covid crisis smart leadership biden	g	-1
actual cdc guidance counts covid19 death determine covid19 deaths cdc investigates accuracy peer reviewed studies excess death statistics covid19 deaths actually underreported reported	s	0
vaccinated distancing im jeopardize trip york yall coughing	o	0
considering covid questions draft selections raw ol picks confirm	o	0
omicron chart	o	0
financial markets increased volatility due omicron kbs world	o	0
boris johnsons plans safe winterplan apretend covid19 overplan bdither delay reluctantly introduce half arsed measures late blame catching	g	-1
ugh whatever boy trash team season head sand repeating catch shoot stats covid season basis edwards idgaf youre dummy	o	-1
planning walk hour moderna booster looking forward exercise reward home stream play cyberpunk	p	1
dr reiner fuellmich scientific evidence covid crime humanity collected undeniable evidence covid pandemic planned criminal operation	s	-1
covid variant means getting dial dial controls	o	0
im pretty theatres didnt decide mandate vaccine passports hands tied government doesnt sound free	m	-1
governor massive communication campaign texan #covidisairborne indoor ventilation air filtration crucial easy covid mitigation strategies urgently implemented buildings	g	1
vaccine powerful natural immunity trial	s	0
yeah omicron variant gonna bad	o	-1
unvaxed education camps option look dying recklessness personally 2 people died covid related causes unvaxxed taking hospital beds	p	0
happened haitian immigrants previous wellcovid deal flu illegals kill spreading covid	o	-1
quarantine tomorrow	o	0
covid variation theyre doing sooner time doesnt change mutation harmful	o	0
omicron sponsored countdown	o	0
tories 444m pandemic	g	-1
disgrace vaccinated people bringing strains beautiful country	ov	-1
facing omicroni wear mask washing hands social distancing im flinching anymore im stop life time shit tough damn vaccine dont tempt death	p	0
friend mine 55yo female fine 15 vaccine anyways dies covid 1 month	a	-1
prioritizing vaccines	ov	0
10442 doses covid19 vaccine administered past 24 hours mohap	m	1
hate covid dont cough youre vaccinated try worry	o	0
flu consequence hygiene mixing social distancing covid arrived average 30000 uk die flu 145000 deaths covid 2	m	-1
dont cdf country world conspiracywhat madness isthe jabdrugs treat harmed family 18 people covid died remdisavirim guessing covid killed	o	-1
mohfw allow rtpcr testing local level identify omicron variants update guidance current protocol makes detection variants time consuming	m	0
heres data actually read54 million myocardial effects low chances	s	0
	o	0
2 south africa calls decision fellow african nations angola mauritius rwanda seychelles impose travel bans omicron varient sadthis comes rush wealthy countries shut borders south africa 7 african nations	g	-1
stock ninja putting notice #omicron recaf vpt ttrv	o	0
covid fatigue	o	0
example vaccine stockpile administered apparently lobbyists virus control cynics germany appearance competence running smoothly scandals please	g	0
chairing meeting officials health department official residence krishna following surge #covid districts #karnataka dcs attend meeting via video conferencing	g	0
omicron found britain half african countries citizens barred africa emancipated ourselves discrimination unite hold resources dear utilise consume 300 ago dead	g	-1
spain mask mandate indoors outdoor ignored border quarantines caps speed christmas ahead course didnt discover thursday priority #omicron	m	-1
toe tag winner rollercoaster ride covid19 remember folks itll breath permanently	o	0
maybe people stop cuddling covid wouldnt	o	0
youre epidemiologist obviously nor reading listening actual epidemiologists scientists explicitly stating covid becoming contagious lethal	s	-1
fat chicks visit spanked da boss mask da covid scared rebeccas legs shut effect left viciously #deadwolf	o	0
contact 2 confirmed school september wearing mask indoors policy carry treat covid cold england btw	m	-1
learned 5 main principles inclusive democracy particularly maintain accountability people samson viulu phd speaking ongoing #sdg16 webinar strengthening citizen engagement #covid19 pandemic session	g	0
breakingjust idiots believe pandemic over#omicronvariantislanders games postponed due covid19 outbreak including rangers clash via	m	-1
happens variant avoids vaccine start unvaccinated locked live	ov	-1
update south african doctor discovered omicron variant theres worry mild symptoms video	s	1
angelique coetzee chairwoman south african medical association apparently saying observing mild symptoms omicron patients sources sputnik shes quoted guardian sources	s	0
deal boredom quarantine	o	-1
1000s aspirants various exams indefinite protest 2 extra attempts due 2 covid waves students requested join protest louder voice students earlier attempts media covering campaign#civilservicescovidrelief #upscextraattempt	o	0
ok theyll recover natural immunity literally 20x vaccine earlier	a	-1
13 #hunt concernd citizens remain informed re covid developmnts switch #oleaginoushunt discussd #omicron frank#trust gone#hunt shld sacked ago #agedcare #health portfolio #hunt failed	m	-1
yall im vaccinated na ng doze	o	-1
staff customers delivery workers kfc brentwood street november 19 1pm 5pm pcr test	m	0
gaslighted own government vaccinated punished commissioner head ass	g	-1
canadians biggest drop gasoline prices 2009 covid variant fears	o	0
oh yes china travel ban success stopping covid19 travel europe brought east coast	m	-1
vaccinated english adults 60 dying twice rate unvaccinated people age brown line weekly deaths causes vaccinated people aged 1059 100000 peoplethe blue line weekly deaths causes unvaccinated people 100000	a	0
media ran tons stories delta usual lied covid rsv noting	a	-1
sir dont forget yourself entertained safe batcave bruce lockdown jacinda counting	o	0
civil services covid relief#upscextraattempt	o	0
banning mask mandates banning vaccine passports help curb covid pandemic time pandemic instead playing politics countrys response	m	-1
maybe unvaccinated vaccinated	p	1
holistic guaranteed prevent transmission theres textbook evidence plandemic coordinated governments dictator xi president life propaganda force coerce vaccine mandates profit reiki actually heal coronaviruses	a	0
lockdown bitches	o	0
numerous strains covid loads continue none impact children read covid havent clue omnicron event	s	0
true ohio hospitals mandating timeline vaccinated apply religious medical exemption hearing granted	m	0
jab teja isse chode tab na wo kuch karethis tejran girli am pissed seriously #tejasswiprakash #biggboss15	o	-1
explain spike melbourne cup vaccine passports event btw	a	0
body decision vaccine establishment decision require vaccine entry respect everyones rights coz difference opinion matter doesnt constitute force	m	0
lol covid involved impact market	o	-1
tone deaf post ive seen coming nigerian africa 6 vaccinated access vaccines covid practically disappeared testing isnt afford	ov	-1
followed rules guess caught covid	a	-1
encouraging symptoms sa suggest omicron highly contagious relatively benign confirmed imply covid	s	1
exempt biden claims covid free diseasefree drugfree cartel nonexistent	g	0
manage covid 2022 variant print ballots harvest	o	0
kneejerk moves ban travel tofrom south africa omicron nations omicron nations identified sa didnt necessarily	g	-1
ok vaccinated people catch transmit covid putting people risk bullshit sold lie dont exposed disease world risk vaccines dont lied	a	-1
imma babytoadz fight omicron	o	0
bee lot partying credit collection precious little leadership imho meanwhile ps gotten millions jobkeeper payments millions increased jobseeker payments organised vaccine rollout despite lack vaccines	g	-1
omicron covid variant	s	0
honble pm shri ji holds #covid19 review meeting top officials#indiafightscoron	g	0
yeah sad honestly dont vaccinated im healthy	m	0
person fakes covid fake brother vaccine available news scoop shouldnt job news opinion dont care	o	-1
oh whatever time theyve gem own party ousted speaking line vaccine mandates remember	a	-1
arent vaccinated hospitals share stories	a	0
hasnt monster arrested crimes humanity start vaxxing babies sick stopped	a	-1
whats difference vaccinated unvaccinated person 6 months	ov	0
imagination vaccinated secretly hoping unvaccinated die prove	a	0
mess slowly killing travel business guess silver lining favour climate carbon emission policies biden banned travel countries extended omicron	m	-1
quick inject vaccine theyre sleeping	p	-1
viral worlds leaders mrna vaccine creation exposes #novaccinemandates	a	0
knowing spreading misinformation boosters protect nation omicron studies data validate statements cdc collecting data breakthrough knowingly spreading misinformation	a	0
real experts tell cant inoculate pandemic particularly leaky vaccines virus virus resistant variants devlop vaccinated unwitting petri dish	a	0
save lives earn bitcoin ems signpost software bitcoin news alhamdulillah ya rozzaq shollu alan nabi #blackfriday omicron #dals	o	0
covid positive school person stays hostel friends school learn live corona wtf	m	-1
omicron crisis spare	o	-1
queen sugar covid storyline	o	0
#omicron scare vanished day happened day #delta variant news hit market	o	1
res sir am lot farming business financial trouble due covid pandemic situation 5 lakhs rupees help please help sir	o	0
day gloomily wonder life lost hustle bustle everyday battles close grasping human fragility darkest days pandemic profound realization backseat	o	0
yuppublic schools finally country districts normal york times columnist michelle goldberg observed perilous situation democrats party public	m	0
photo #omicron #omicronvariant #covidvariant #covid19 #coronavirus #corona	o	0
ok difficult people vaccinated schools requiring students wear masks lowest ok	ov	-1
lol vaccinated simple	p	0
global pandemic getting kids college career	o	0
nice gif vaccine boosters excellent news spread wide finally covid19 free normala thousand apologies didnt	a	0
pfizer booster vaccine april pretty tired day little sore extreme	o	1
stupid green pass unvaxed cant fo jab passport	m	0
agree sometimes death skew grandad passed covid hed hospital 3 months understand logic believe majority slip	s	0
dont weird mutations variants happen low weird delta vaccine ready weird variant horizon pushing boosters	a	-1
ot home relax watch south park post covid tv catch rookie yellowstone hope night kurt kleio	o	0
africa produces vaccine start crises vaccine covid19 hiv invade africa capable produce vaccine protective measures wave corona virus happened south africa shd travel restrictions	g	-1
dr fauci treated covid patients oh thats hes bureaucrat science incarnate hes blinded own hubris conflicts sad dangerous deadly	m	-1
omicron variant surfaces amid airline travel rebound	m	0
scheduled tweet 2020 sent 87 vaccinated nationally late 2021 cant banging cynical ploy peoples current fears stop btw hotels past tense fine world procedures	m	-1
gartman buy dip omicron variant deal	o	1
surely perth approved recognised quarantine facility south africans	m	0
person mask covid	o	0
lockdown happens stick fool load shite ive spent life living nonsense fuck themselves	m	-1
negative covid test international travel	m	-1
