,tweet,topic,sentiment
266,@ClareCraigPath Percentages are a pretty basic way of looking at things with such low numbers involved. Seven day average 8. Rose to 11. It only takes one or two families to catch Covid and skew the figures.,,
267,"""There is a sad failure of imagination at the root of this crisis. An inability to perceive both the terrible and the wonderful...Others cannot imagine that we can actually do what is necessary – which is nothing less than building a new and better world."" https://t.co/bBeKfiUcRo",,
268,Omicron: What Covid rules are being toughened in the UK? https://t.co/RF1CHundmx,,
269,New York ER Closes As Employees Refuse To Comply With Vaccine Mandate https://t.co/YHOHSc0zdd,,
270,"@becklizzy i'm so nervous that the covid situation will ruin it, but I hope not 😭🙏🏼",,
271,"@ndtv What a headline @ndtv and what is it trying to say? 😃Now they have found n announced it, they'll be published for it? So basically they shouldn't have detected it and let it spread uncontrolled worldwide?#Omicron",,
272,"@adamcurry @ScottAdamsSays my vaccinated friends and family is a small price to pay to get rid of the huge portion of society who has held us back from an open source, free energy, gold backed economic system. once they're all gone life finally begins for us all.",,
273,This.#Omicron https://t.co/gZl6oSZyzD,,
274,Guess this Covid toe thing is real and man does it not feel great 😂,,
275,Click below.   This is a 1984 study if coronavirus using strains from the 70s.  Why not find these people.. see if there alive… and b…. See if they have immunity from the current covid 19.https://t.co/4yihwPMoiy,,
276,@RebBarrettNP @IrishMarc87 How do toys get vaccinated? Serious question 🤔,,
277,@business But 90% are vaccinated….,,
278,Health remains one of the most unequal spaces influenced by access to health resources and information. The pandemic is just shining the spotlight on a systemic issue https://t.co/uFFZhyGUnw,,
279,"Cardiac risk could go up 1,000X after vaccination and it wouldn't matter. Nobody is listening https://t.co/WAgtdk5BF3",,
280,"If you would've told me a couple years ago that I would be hooked into an online game, anime and be a doting fur mama to my dogs and cats, I would have never believed you. Haha. Quarantine defo changed me.",,
281,#OmicronVariant #COVID19 #sheep #government I see one mask being worn by the same group of people trying to enforce mask mandates 🤦🤦🤦 oh but I'm assuming you'll just ignore the picture and call me a fool/right-winger/tin foil hat? 🤦‍♂️🤦‍♂️🤦‍♂️ https://t.co/bhLMFetW5O,,
282,Mosque to take up massive #vaccination drive across 100 slums in #Hyderabad Several mosques will be part of a full-fledged drive to achieve 100% saturation of vaccination in areas that are low on #COVID19 vaccinations. @imAkbarOwaisi opens the vaccination box. @TheHansIndiaWeb https://t.co/B2cf0Nm3BB,,
283,@Siya_Maloka_ Fully vaccinated bro,,
284,"@davidjmyershot2 @SkyNews @BethRigby @sajidjavid @joncraig So as a vaccinator, could you give me the details of long term side effects of the jab. I would like this so I can make an informed decision on providing consent.",,
285,"Your opinion seems very biased toward people from single parent homes, I hope you aren’t pushing this to be spiteful. You forget the words you used can trigger a lot of people. Covid is a global tragedy and how you relate it to single parent homes is weird. https://t.co/aSeAwE5fFW",,
286,@j_pagsy @ColinDMello It's a good thing we spent the last 2 years bolstering our hospitals so they can effectively stay the course. Would be a real shame to lockdown post vaccine.,,
287,@SBF_FTX Omicron spreads through the blockchain,,
288,@erinotoole tomorrow: why did this government put useless travel bans in place? Honestly all politicians fuck right off. I’m so tired off the lot of you. There’s one job right now &amp; it happens to be Erin getting his caucus vaccinated.,,
289,"Thanks to a pandemic-era change in their approach to oral arguments, the Supreme Court can now operate at a much breezier pace, and Americans all across the country can listen in. But will these improvements remain in place?https://t.co/w27NKnKfou",,
290,@POTUS @WHO Shut up and get real vaccines approved like #COVAXIN. Obviously @pfizer and @moderna_tx vaccines aren’t gettin the job done so the preferential treatment you and @US_FDA are givin to these companies needs to end. Approve @Ocugen to distribute #COVAXIN in the US and end this #ocgn,,
291,@WhatDidKenTweet @AndrewFeinberg @WhiteHouse @POTUS @WHCOS And more people dead from Covid since @JoeBiden took office than before he took office.,,
292,"Opening remarks at WHA special session by @DrTedros  ""Vaccines save lives, but they do not fully prevent infection or transmission. Until we reach high levels of vaccination in every country, suppressing transmission remains essential."" https://t.co/ur73OsuOPP",,
293,"Too soon to say Omicron is less dangerous, it’s still being studied - precaution is wise given it’s a whole new lineage with more mutations than previous variants… https://t.co/mlLJqTC0tf",,
294,Flashback 2016: Fauci’s Cohort Peter Daszak Explains How Scientists Can Perfectly Create a Coronavirus in China Lab That Can Lead to Global Pandemichttps://t.co/hG2oLboTtH,,
295,"@NadolnyJessica @RWMaloneMD Most people who don't live in southern hemisphere are Vit. D deficient, and should supplement at least in winter months if not all year round, regardless of  covid. However,  seems to be quite protective for  Covid--check out some Youtubes on Vitamin D3 and covid. 1/2 of US need.",,
296,@HarryGr69510200 @DisaHakem @death_labour @JezMillard @trevor8sinclair Covid is not a danger to mosr people. The jab does not stop transmission. Why get it if covid is of minimal threat and it doesn't stop transmission? Bring yourself into the real world.,,
297,"@lockoutdays but that wouldnt work, thats what life was like before the pandemic 🤯",,
298,"You know what the German minister said about everyone being vaccinated, infected or dead?Judging by the number of +ves received today in our practice, it feels as if we're ramping up to that point.",,
299,Its crazy how covid is finishing us 😭😭😭  its two whole years now since thing first appeared and travel bans are a thing again.,,
300,(Birmingham mail):#Top #UK scientists explain just how resistant Omicron variant is to vaccines : Scientists have spoken out about the variant .. #TrendsSpy https://t.co/7eCsYkXF6w https://t.co/0aUHgPsPdn,,
301,@IsItAlesha Who cares about long term when you can have the short term effect of not getting COVID?!,,
302,"@chipmcdonald @zzyzyvasmay @CJHopkins_Z23 Except that the jabs only reduced infections by about 1% even in clinical trials. And the ""vaccinated"" pass on the virus just as much as the purebloods. Incidentally I'm unjabbed and immune so can't pass it on to anybody.",,
303,"U.K., Germany and Italy detect Omicron coronavirus variant cases - Reuters https://t.co/J75lu4k10O",,
304,@Joshhhh1876474 @UKCovid19Stats 9 deaths ! Woah let’s close the whole country down ! Meanwhile last months 9300 Non Covid Related deaths ! Covid Truly is a fucking cult and these reprobates are abhorrent #DoNotComply,,
305,"@LeslynLewis @PierrePoilievre 🇨🇦HEY CANADA🇨🇦This weekend,Who didn’t visit flood ravaged areas in B.C.?Who was in Regina shaking hands during the outbreak of a new COVID variant?🤦🏻‍♂️Who has spent the most time not working in Ottawa?Who is wasting taxpayer dollars?#Hypocrite #cdnpoli #BCFloods https://t.co/WrMdqTSO90",,
306,"Same here with my family&amp;friends. Unfortunately, my employer allows assholes to associate with me and the 5&amp;6 year olds in our classroom. But she’ll be out for at least a week-she has covid 😡Fingers crossed our kiddos are ok. https://t.co/85rEw0mLn4",,
307,"@kylenabecker “Covid emergency,” cries Hochul while encouraging thousands to show up for the Macy’s parade &amp; New Year’s in Times Square.",,
308,"@joncoopertweets No. If you do not trust the vaccines, why would you trust the hospitals/care givers? I have long Covid and have fought for 11 months. But I’ve taken both vaccines and the booster. I’m infuriated with those who selfishly choose to not take a vaccine.",,
309,"""I am against mania altogether. And I am against the mindless, moralizing slogans of those who fan the mania we have allowed to accompany vaccination in Canada."" https://t.co/GkTyBFtpzF",,
310,@TheNextBigRush I am 65 yrs old. I suffer with stage 2 congestive heart failure. I have 5 grandkids. If I get covid zombie flu I will die. I cherish my days. Get vaxxed!,,
311,"@Billius27 @DrJudithGlennie That would mean having a plan. That would mean being proactive. That would mean understanding the science, or history of the pandemic in Ontario. That would mean having thinking human beings in charge. This is where I remind you we are in Ontario. Doug Ford is in charge. Doom.",,
312,"@ScottAdamsSays Seriously if you have covid, seek help underground!!!  Hospitals are killing people with their standard protocol!",,
313,"@tedcruz Do you ever, EVER, get tired of making yourself look stupid?  https://t.co/g2TIJuFkus",,
314,@StuOld hey do you know anything about this tablet? I’m looking for cheap option to use for verifying vaccine passes at the office so I need to d/load vaccine pass verifier app on it,,
315,@lorihensler I did. I got Pfizer because that was the only one available at the location I went to. I actually had less side effects from my booster,,
316,"@TeaPainUSA @MalcolmNance As usual, you have it backwards.  Biden, told he could not ban evictions did it anyway after confirming SCOTUS was correct.  Biden mandated Vaccination with not have the authority and AOC and company are urging Biden to ignore the rules on reconciliation!",,
317,"@kekw_memes Me, I said when covid first appeared it wasn't what they were saying and the way they were pushing it, kinda obvious to me...",,
318,Dr. Fauci reacts to new COVID variant omicron https://t.co/kLCiyDZV4K,,
319,https://t.co/1tM3gPpKmx Are the foolish democrat followers listening.....TRUMP WAS RIGHT TO BAN TRAVEL FROM VARIOUS NATIONS AT THE ONSET OF COVID! Now old hypocritical     Biden is following suit!!!,,
320,@TheUSASingers @ksorbs 1) General George Washington required his troops to be vaccinated against smallpox during the Revolutionary War which was within his right to do so. President Washington never supported a draconian mandate forcing the citizens to bow their knee to the State.,,
321,@Orion69x @nayrelyk7 @jimmichael720 they are commiting genocide with the jab,,
322,@piersmorgan was speaking about the new covid variant dumbass https://t.co/wSsmNls9e2,,
323,"08:59 AM temp 5.2c,max 5.2c,min 3.4c,Dewpoint 1.3c,Avg wind speed 8.9kmh,SW,max gust 13.0 kmh,Rain since midnight  0.0mm,Rain this month so far 14.6 mm-Please research public health advice to help stop Covid19",,
324,"""President Cyril Ramaphosa""coronavirus is from the usa? if you bothered to stop with conspiracy theories? you would know this?south africa alerts world wave 4 omicron?cyril named each of the western world &amp; allies who seek to punish south africa for alerting their mess?",,
325,@Rod_Hagen @hatfinch @justabirduser @DrEricDing I was pointing out how few covid deaths we are having at present as opposed to NH countries,,
326,Dystopianism Defined ： Never Let Even A 𝑷𝒐𝒕𝒆𝒏𝒕𝒊𝒂𝒍 Crisis Go To Waste…Joe Biden Voices ‘Great Concern‘ About Omicron Variant that ‘Spreads Rapidly‘https://t.co/jeRxlwQltw,,
327,"Trinidad and Tobago records 720 new COVID-19 cases, 21 new deathshttps://t.co/toB1opgtpr#covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021 @DrKeithRowley",,
328,"A lot of unknowns!We do not know whether #Omicron causes more severe or less severe illness or can escape existing immunity. Some previous VOC, like Beta, initially concerned scientists but did not spread too farMy views in ⁦@TheWireScience⁩ ⁦ https://t.co/6FMysvTZw7",,
329,A SAGE scientist has said #Omicron is not a disaster I wonder when will he get #Cancelled &amp; lose his Twitter account,,
330,Covid Killed Three Rare Snow Leopards at a Zoo. Demand Vaccinations for Eligible Animals Now! #care2 https://t.co/fKfu2Ion0v,,
331,Funny as hell… these people have a sickness (and it isn’t Covid) https://t.co/ymyLh7a0BR,,
332,@stockguru473 @ChadRingbloom @LadeBackk How about the flu? Did the vaccine eradicate it?,,
333,"@DFire45 @TonoccusMcClain @docrocktex26 @tzjcomet But Dan Patrick, Texas’ Republican lieutenant governor, assured us that ‘…he and other grandparents would be willing to risk their health and even lives in order for the United States to “get back to work” amid the coronavirus pandemic.’ ! If that’s not patriotism…🤪🤪",,
334,@tealtaylah They have covid,,
335,Vaccine-sceptic care workers urged to get jabbed to save lives https://t.co/WxY8N9C48m #Pembrokeshire,,
336,"The position of the budget in our country in the APBN for PEN and Covid-19 is Rp.744.77 trillion, one-third of our State Budget,” said Head of the Regional Office of the Directorate General of Treasury for Papua Province, Burhani  AS to the media crew, Thursday.#westpapua #papua",,
337,Why y’all “smell” another lockdown coming every year with each new variant? It ain’t happening.,,
338,@MoshabelaMosa Did they announce the vaccine would guarantee protection against new variants? You failed comprehension on school hey? It shows.,,
339,"@snolen It sucks, but quarantine/ travel restrictions are still sound public health measures for such deadly contagious diseases. Of course, we know from experience that the virus travels faster than the news, so singling out a few countries is probably not going to be very effective.",,
340,@smgriffin00 Good luck!  I was fortunate and never had any substantial side effects other than a mildly sore arm from any of my 3 Moderna doses (either that or I got the placebo 🤔).  So there’s hope for you!,,
341,‘Complacent’ #Germany facing bleak 2022 as it lags behind UK - new Chancellor warned #Brexit #OlafScholz #Merkel #Covidhttps://t.co/ya3ilPhQap,,
342,"@mtgreenee Why are you so determined to do everything you can to prolong the pandemic?Vaccine mandates are not unconstitutional, they've been in place for decades and involve no 'communist tactics'.It's staggering how stupid you are!",,
343,@mmpadellan It’s not about refusing.Remember “drill baby drill”?Everybody jumping on the oil wagon? The return on those investments weren’t that great.Than Covid https://t.co/LTQ2HX56RH nobody wants to invest in domestic oil production when they can throw it in the stock market.,,
344,"@FuVaccines3438 My son had the same, only 29 years ago after the hooping cough vaccination. He is fine now but I feel your pain even after all these years. My prayers are with you.",,
345,@Jeffrey_Addison @section_117 @Red_Rigger Vax passport isn't proof of being jabed. With their exemption they still get vax passport. Is that too hard to understand or has the vax messed with your critical thinking (like all the rest of the covid lemmings)?,,
346,"Omicron COVID-19 variant to be monitored before WA sets reopening date, Mark McGowan says https://t.co/MEykZXmS70",,
347,"@DoctorLunge @FrankSp82601647 @basil_ireton @nursey40 @pplatesrgrate @fly_girl7 @fi_writing @Attilla_dehun @AnnadeBuisseret @BorisJohnson @crbarnes001 @veronic79637238 @miss_anthrop75 @lorrain00414525 @Blame_me66 @TornadoRat @BreesAnna @ez_dee @TheFreds @sorryantivaxxer @LongCovidKids Your desperation to hold onto the belief that covid is deadly is clear for all to see. Good luck with that because you’ll find the majority of people are now done with the bull💩 lies and fear mongering but by all means, you keep going. Whatever floats your boat I guess",,
348,@SentientPotato6 We should let researchers determine the best vaccination regimens and twist arms as hard as politically feasible to get people to take them. Full stop.,,
349,"@Tiffany54980830 @CerebrumScops @JcVasquez52 ✝️""All vaccinated people will die within in 2 years""Nobel Peace Prize Winner Virologist Luc Montagnier has confirmed that there is no chance of survival for people who have received any form of the vaccine. https://t.co/XQEUSdPEgy",,
350,"@TB_TB_TB_TB_TB Devils in the detail. How is 'vaccinated' defined? Having had a jab, or not having had a jab because 2 weeks haven't elapsed, &amp;/or had it 'x' months ago?",,
351,Could I strongly suggest that if you live in Old Bexley and Sidcup constituency you vote for and elect Richard Tice  on Thursday - we need loud vocal opposition in Parliament to these (and future) ridiculous Covid measures and not more of the same just following a Party whip!,,
352,@Walttheold i am just on my way for shopping ( can be a big one cause I fear a lockdown)  After my return I will listen,,
353,"@DebraEuler @WWChicago123 @Finneganporter I sure do love my solar powered microchips from the vaccine that inside my body, completely unexposed to sunlight. mmm yummy.",,
354,"th Africa h ✍✍#허브액상✍✍as complained it is being punished - instead of applauded - fo♚♚♚♌︎♌︎♌︎♌︎♐︎♐︎♐︎♐︎♐︎♐︎♚r discovering Omicron, a concerning new variant of Covid-19.",,
355,@WhteRbbnAdvocat @davidbewart @colinelvy11 @CockramRD This is a government on the teat of big business.  If you run a small business you would be aware of that due to the lack of supports in the latter part of COVID.,,
356,HELLO OMG THE VACCINE IS SP LOG. FCUKD,,
357,@ChaChaC87311797 Yeah I'd like to see some real life pictures of these bacteria. We can be shown graphics of them but not any enhanced real pictures of covid and it's variants,,
358,"@Anon94343572 @KaitMarieox Some people did call Trump racist when he banned travel from China....but ONLY for Chinese nationals, everyone else could still travel from China to the US during the start of the pandemic.",,
359,@SonOfTheSun333 @trafficconehelp @rise804 @Finneganporter “whatever they're told by big daddy government”This is just more projection.Trump is “big daddy” government.Few people get vaccinated because they have been told to. Everyone I know got vaccinated after having considered the scientific evidence and decided for themselves.,,
360,"Confidential. $OCGN #COVAXIN For the 9,000,000th time. Things are happening behind-the-scenes. https://t.co/kDm5CHZdPE https://t.co/qXJRAEKrl6",,
361,"@fordnation consistently demands Covid action from everywhere else while not acting themselves.We need vaccine mandates and a serious push towards higher vaccination rates and third doses. Those measures are Provincial responsibilities within your jurisdiction today, so act now https://t.co/JJA6gDqJGr",,
362,Booster jab cancelled!,,
363,"@MarkGermaine @juliannejtaylor @guzmannutrition @NanciGuestRDPhD @EatsleepfitJeff @nzsugarfree @mackinprof some of these were already happening prior to this, the pandemic just rushed it along  (the middle two specifically), the future just got here a little sooner than expected",,
364,"@WAGSocialCare My son had a COVID vaccine scheduled today at a Walgreens. I received a confirmation email yesterday, drove there today (almost an hour round trip) only to be told the pharmacy is closed on weekends now and I had to reschedule. This was incredibly frustrating",,
365,...from @rtenews: Omicron: 'Reason to be concerned' - De Gascun https://t.co/kFvoD8t4xW https://t.co/tpPXMovFQo https://t.co/sgmAm7hGXn,,
366,The latest Solo Belle Notizie! https://t.co/KlYUJyTIeU Thanks to @jmorat @AmnestyPiemonte @KarinValenzano #covid #covid19,,
367,"@mark_forty2 @CelticNotorious Oh yes, CDC analysis being doctored by the Covid deniers in the Trump admin. Not sure that supports your argument…",,
368,@abcnews Wake up Qld. How long have vaccinated travellers been allowed I to SA?Not long. But already a steady flow of covid cases.Vaccination does not stop transmission. So what's the point of vaccine passports.They offer no protection.#auspol,,
369,FCK COVID 🥺 https://t.co/ZeFcruEZNg,,
370,"My condolences 💐 to the families, loved ones 🥰 , friends and communities of these 41 people who we lost 😞 to COVID-19.  Their absence will be deeply felt. https://t.co/RxvTwSmAQ0 https://t.co/8rBxNYCkwP",,
371,"@VP No way am I signing up for a lifetime of never ending booster shots with undisclosed ingredients, undisclosed manufacturing process from big pharma who has ZERO LIABILITY if their jab injures or kills you. Along with costly follow up care from heart problems from a ""free"" shot.",,
372,"@Carolin23290674 @Mohawk83586114 @BBCPolitics I think the virus your talking about is the media. And if that's the case then I agree with you. But If your talking about covid 19 that has a 99.8% survival rate,I would say it's been two years people got used to covid most people who have had it survived and only had it once.",,
373,@timesofindia OMG. Will it mean a complete lockdown once again?,,
374,FDA authorizes COVID boosters for all U.S. adults | MDedge Internal Medicine https://t.co/fe3jdfltfr,,
375,We just had the Delta variant and suddenly the names of the next in line are skipped to Omicron. Why has this acceleration of naming variants jumped by so many? Has an agenda been accelerated?,,
376,"@mbielamowicz1 @JoeBiden 🤣🤣🤣 Covid related? Have you come up for air out of the sand to look at the record border crossings of illegals from all over? 🤣🤣🤣 maybe you might look before commenting 🙄 Just FYI Covid 19 doesn't exist. Produce 1, just 1 truth of isolation of the source. You cant",,
377,@FoxNews But they are all vaccinated 🤨🤨,,
378,"Transmission potential of vaccinated and unvaccinated persons infected with the SARS-CoV-2 Delta variant in a federal prison, July—August 2021 https://t.co/nPBPR9nICz",,
379,@GillianMcKeith I had the Pfizer jab and every time I see a tweet by mckeith it looks like bollocks,,
380,"#Thailand recorded 6,073 #Covid19 cases and 32 deaths on Saturday. @Thenationth https://t.co/BtGzRErusM",,
381,Officials briefed PM Modi about the new Variant of Concern ‘#Omicron’ along with its characteristics &amp; impact seen in various countries. Its implications for India were also discussed. PM spoke about the need to be proactive in light of the new variant: PMO #OmicronVariant,,
382,@MatiB0i @davidqhog You can’t get a taxi if you’ve got covid. What a stupid suggestion.,,
383,I need whiskey recommendations for the omicron round of the pandemic.,,
384,"Each new variant is more easily transmitted, evades the jab more easily, and is more deadly.Weird.",,
385,"“South Africa has given the world a precious gift, and along with our gratitude and support and resources so that they can better battle their own outbreak, this gift deserves to be treated with the respect it deserves, by acting on it.”By @zeynep https://t.co/3YgFmvLPkP",,
386,Cardinal Parolin: Fraternity and hope are keys to finding way out of crises - Vatican News https://t.co/RPGwFzkAGo,,
387,Omicron is an anagram for Moronic. They are laughing in our faces 💯💯💯,,
388,"Rep. Ronny Jackson, who raved about Trump's health when he was the top White House physician, called omicron the ""Midterm Election Variant"" that Democrats somehow cooked up to push mail-in ballots. https://t.co/iLahARmDye via @HuffPostPol",,
389,@MarcusFitzsimon @peterjukes @BylineTimes So are far too many others. They are treating COVID-19 like its a cold.,,
390,A virus so weak they had to release a vaccine to weaken your immune system just to kill you.Darkest Winter,,
391,doctors for covid ethicshttps://t.co/sdMunwDn9V,,
392,This covid news has NOT passed the vibe check!!!,,
393,"Thanks a lot to @dogespromote 🙏🙏😭😭😭☘️♥️For this amazing gift , first time winning Will help me a lot ♥️☺️🙏 during this pandemic covid-19 . Thanks again ♥️☺️Received prize instantly . #LEGIT #Dogespay #Dogepromotelegit https://t.co/n3mSsc2Ovn",,
394,"Maldivian leader, concerned over new COVID variant, plans to ramp up vaccinations https://t.co/kB91YBVqd0",,
395,@R5Philly @QuispMe @PerdewJoe The vaccine mandates violate the Nuremberg Code. The Constitution and US Civil Rights. Mandate for a virus that never existed and was founded by a crooked NIH and Crooked Fauci to steal an election… who does that? A dictator.,,
396,"#omicron  ...preparing the dutch superfood called ""boerenkool"". Guaranteed a better protection for any covidflu then the poison pfizer jab. Enjoy:https://t.co/18o5QepwYZ",,
397,@teapotladyciara @IrishTimes I was protesting against vaccination pass that segregate people.,,
398,"@CMOH_Alberta “They” say it’s vaccine resistant haha didn’t we tell you this all would happen from your magic poison jab! Right once again! Live your life Albertans, don’t listen to a word these lying POS say. It’s about control. A sick sick dangerous game they are playing",,
399,"Steve Kirsch:""45% of deaths after COVID vaccination happen in the first 2 weeks. It's 59% at 4 weeks and 63% at 5 weeks.Doing some very conservative estimates on the number of Americans killed by the vaccine leads to the inevitable conclusion that the vaccines should be stopped.""",,
400,"@djskeez313 Jesus Christ lol, already all had pre-existing health issues no doubt, this virus is man-made, don’t cry to me about that, I’ve gotten the shit twice already, honestly if anything the vaccinated are creating new strains, stupidity is unfixable, ignorance is bliss..",,
401,"@BadCOVID19Takes Wind up in hospital with Covid, you'll have more needle sticks you ever imagined possible.",,
402,U.S. imposes travel ban from eight African countries over Omicron variant https://t.co/JysPoYK9We,,
403,@jmacho162 @thepointbeingg @Annie121655 @thebradfordfile You do realize variants are created from leaky vaccines right??? If the vaccine doesn’t kill the virus it mutates to get around the vaccine,,
404,Total Covid Death Distribution by County  For WA   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/05x4nryVWz,,
405,Lockdown In Karnataka from Dec 15 https://t.co/R2IKRsf9xvSource: Bucket TV https://t.co/X8kncnx1Iy,,
406,Delta Variant Still Responsible For 99% Of Covid Cases Globally: WHO#covidvariant #coronavirus #COVID19https://t.co/1ZiYNTzWwX,,
407,"It is only in our darkest hours that we may discover the true strength of the brilliant light within ourselves that can never, ever, be dimmed. - Doe Zantamata#quote #covid19 https://t.co/pKBeP7BTNo",,
408,"Rage must be cancelled. Shouldn't have gone ahead at all amidst a pandemic. But forget COVID, cancelling Rage will save many young women from the horrors of boozed up misogynistic barely-men who themselves have a point to prove in an environment that offers ""nothing to lose"" https://t.co/juw3g06xRW",,
409,@blockchain Petition has been made to transfer the billion dollars worth of $Shiba Inu covid relief fund coins over into $India coins. To start national coin. Buy #India coin while it's still low. #ShibaArmy #dogecoin #Bitcoin #shibainu #ElonMusk #ETH #BTC #Ethereum #BNB,,
410,"@sophie_walsh9 @9NewsAUS @TheTodayShow Fear mongering pricks. Let me guess, another lockdown until everyone has a couple of boosters.There goes that Christmas",,
411,"#UPDATE Dutch health authorities say they had discovered at least 13 cases of the new Omicron strain among passengers on two flights from South Africa, after 61 out of 600 travellers on the two KLM planes tested positive for Covid-19 on Friday https://t.co/HPZ8Hwoqsw https://t.co/CMfSF9jwkI",,
412,@QuancyClayborne Got my Pfizer booster about a month ago. 👍🏻👍🏻,,
413,"@Wrestlinggirl48 @tommycmann @alfrescosleep @capt7_ @mrjamesob The vaxxed don't have a problem getting tested either, idiot. The vaxxed are responsible and stay home and quarantine. The unvaxxed don't care, if they die, they die so why not take out as many with me. That good Christian sentiment",,
414,"@sth9669 @ScrewAmber @jakeshieldsajj @Cernovich You aren't immune to anything. You have a certain level of resistance. It would be higher if you were vaccinated.There have been indicators that the virus actually attacks certain immune response pathways, but sure, keep putting your faith in a virus to keep you safe lol",,
415,"@outsider63 @BottomleyFiona @TonyHinton2016 No it’s not. A vaccine is a drug which teaches your immune system to recognise a pathogen without making you ill. Any case made for a different definition is a semantic, not a medical one.",,
416,@carentarvin @CharisHamilton8 @brithume Policy by fear is very oppressive. there are other ways to maintain safety than a flawed undesirable vaccine that is making criminals rich.,,
417,@ThaboMakwakwa You pose a risk as unvaccinated to the vaccinated simple as that,,
418,"@HiJCP @MollyJongFast That is exactly the game — and it is cynical and cruel, because it is attempting to leverage a political result by causing the avoidable deaths — and misery — of innocent people &amp; their families, who will all suffer from following the GOP’s idiotic advice not to get vaccinated",,
419,"The latest cases, including 15 imported and 13,094 domestic transmissions, were logged in 60 provinces and cities https://t.co/1pjfZwLiOA",,
420,Some more context around the possibilities of omicron https://t.co/yyLTNfrAlo,,
421,The Daily Telegraph altered a news headline: https://t.co/iY7rnrJebj https://t.co/hiK9CE0Rj2,,
422,"@GOP Because you idiots won’t get vaccinated.Don’t pretend he didn’t supply the tools, he did.You can’t cure stupid in this country.",,
423,@BeeMatney Yes. And the varient OMICRON is an anagram for MORONIC,,
424,@RadioFreeTom I won’t even read that ridiculous article…of course Biden can’t control a natural disaster when the Trump followers discount the vaccine.  Let’s not equate Biden’s term with Trump’s disaster.,,
425,abandoing my pandemic dog because “i’m done with that phase of my life”,,
426,"The warnings about the omicron variant have some writing it off as overhyped. @DanAbrams gives his thoughts on where things stand, and Bethany Mandel, who’s been critical of mainstream news outlets’ coverage of the pandemic, weighs in. #DanAbramsLive #NewsNation",,
427,How do I avail Turkish airlines flight change policy for a comfortable journey#Turkishairlinesflightchangepolicy#TurkishairlinesflightpolicyVisit ... https://t.co/aCL2ACVxBK,,
428,@realist64 @Intellectard @MrMeatMan2024 @DonaldJTrumpJr I'm just against mandates. I can't give a fuck less if Karen and Kyle get the vaccine. Their decision has no impact on me.,,
429,Classification of Omicron (B.1.1.529): SARS-CoV-2 Variant of Concern https://t.co/RjddCXv3FB,,
430,Covid Rising Rapidly in Two Major South African Cities  https://t.co/MDMdxYzdhU,,
431,i cannot mentally handle another covid variant please go away,,
432,@Tuliodna #GenocidalMilitaryBlock aidsArbitrarily abduct medics while giving medical support to civiliansThose who spearheaded #COVID19 prevention now in jailSAVE 54 MILLION LIVES#WarCrimesOfJunta#EndImpunity_EndVAW#Nov27Coup#WhatsHappeningInMyanmarhttps://t.co/MwIYHKZRMa,,
433,"With a new variant of Covid 19 on the horizon, people need to ask themselves if it’s worth dying over. The vaccine does not kill. The vaccine is keeping people alive. The vaccine will prevent future occurrences of mutation. If I have to beg I will. Get vaccinated. HELP STOP THIS.",,
434,@professorbtgs Pandemic hits 😅,,
435,@idiots_sick @fogunited7 @LeeKurtiss @alonso_says @ryanciminski you just refuse to admit they were all fully vaccinated its OK you have been brainwashed for a long time you might some day realize it,,
436,Omicron will be the end of Scott Morrison’s leadership (if you could even call it that). 18 months &amp; still no purpose built quarantine. What an absolute disgrace. Shows the colossal failure of this government. The PM claims everything he does is 4 Aus. Nope. Not even close,,
437,@Live4Liberty @cedar1900 @MeddingsMark1 @POTUS @ifudontlike2bad So what about babies who don't have a fully fledged immune system yet? Afaik the vaccine isn't suitable for them yet.,,
438,South African white people are a pandemic https://t.co/UJl5uI0zhZ,,
439,"Is Atmospheric Rivers their new ploy,guess we won't hear the end of that quote until they come up with another one-what ever happened to heavy rains etc.just more bs folks to get the people in panic and fear mode like covid next we will hear the sky is falling the sky is falling",,
440,"This article was only a few days ago. But it’s also an important reminder that Africa has some surprising and less surprising advantages over COVID, which is one of the reasons (though logistics is number 1) that countries like South Africa said they have enough vaccine for now. https://t.co/ytbVnREYtO",,
441,The first dozen Variants that Biden &amp; Fauci named are NOT getting the panic lockdown response they want...so they keep putting names on outbreak.They lie so much who knows if it even new or they may have created a different one. This last one will be called the COMMUNIST variant. https://t.co/GJZd5tNx2r,,
442,Interestingly cancer's been around since 3000 BC and they've never found a cure for it but yet they found a vaccine for Covid-19 in five months. #interesting #KnowledgeIsPower https://t.co/qAXpmONimm,,
443,COVID Parenting Is Reaching a Breaking Point - The Atlantic https://t.co/N4vXQBQrEB,,
444,Big news media trying to scare me about this new COVID variant. #Omicron https://t.co/s7dbGjG6Zn,,
445,"@MartinKulldorff ITS A SETUP! Omicron is more transmissble...some know masks dont work, a lot dont. When the numbers go up, and they will go up as history shows us Omicron is already amongst us, the mask noncompliance gang will be blamed for the lockdown over 🎅. Its a PSY-OP against 💉 hesitant",,
446,@AenesidemusOZ @dtauletto @HealthcareGlob1 What argument are you presenting? That you’d rather risk the unkown long term effects of the jab than risk the 99% survival rate if you get covid? 🤷🏻‍♀️,,
